id,salary_in_usd
0,23351
1,48576
2,86706
3,13457
4,23096
5,90309
6,77351
7,41030
8,46857
9,67773
10,6834
11,93870
12,73973
13,54759
14,61952
15,6293
16,36041
17,75405
18,91725
19,17710
20,79960
21,30662
22,86879
23,6769
24,7603
25,51309
26,16967
27,61984
28,59241
29,56704
30,59938
31,89957
32,52233
33,58613
34,69094
35,85610
36,42453
37,68682
38,8426
39,14131
40,73854
41,73083
42,55796
43,5983
44,26980
45,71017
46,53590
47,92325
48,65416
49,58673
50,96776
51,61920
52,43012
53,84053
54,96188
55,10534
56,76082
57,97656
58,96637
59,99073
60,86697
61,10226
62,78234
63,42251
64,52433
65,41099
66,61821
67,37491
68,61983
69,46114
70,12296
71,28944
72,7650
73,99340
74,87237
75,93162
76,6917
77,21871
78,94735
79,30647
80,99197
81,25251
82,25832
83,74853
84,38146
85,91771
86,83756
87,55338
88,65392
89,57724
90,8951
91,78836
92,36571
93,80457
94,94765
95,83462
96,65536
97,23103
98,55953
99,98842
100,88104
101,5670
102,98408
103,11305
104,70769
105,53423
106,72091
